HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
Total,-,-,9.3744,-,7.9608
