ContractID,HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
ACCG1I72,AUS,AUS-SD-0001-0001,632440,0.000235,148.623400,0.000200,126.488000
ACCG1I72,AUS,AUS-DK-0002-0001,186010,0.000235,43.712350,0.000200,37.202000
ACCG1I72,AUS,AUS-IP-0001-0001,9672,0.012600,121.867200,0.010700,103.490400
ACCG1I72,AUS,AUS-VM-0001-0004,5881,0.973615,5725.829815,0.827600,4867.115600
ACCG1I72,AUS,AUS-DK-0001-0001,612800,0.000235,144.008000,0.000200,122.560000
ACCG1I72,AUS,AUS-NW-0001-0001,13,0.012600,0.163800,0.010700,0.139100
ACCG1I72,AUS,AUS-VM-0001-0002,2232,0.243976,544.554432,0.207400,462.916800
ACCG1I72,AUS,AUS-VM-0001-0001,5650,0.121416,686.000400,0.103200,583.080000
ACCG1I72,-,Total,-,-,7537.485797,-,6407.4399
CHZNCW34,AUS,AUS-SD-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
CHZNCW34,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
CHZNCW34,-,Total,-,-,22.2456,-,18.8976
D3EKD722,AUS,AUS-SD-0001-0001,178560,0.000235,41.961600,0.000200,35.712000
D3EKD722,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
D3EKD722,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
D3EKD722,AUS,AUS-VM-0001-0004,382,0.973615,371.920930,0.827600,316.143200
D3EKD722,AUS,AUS-VM-0001-0001,1143,0.121416,138.778488,0.103200,117.957600
D3EKD722,-,Total,-,-,571.409818,-,485.7344
G5QMDDUP,AUS,AUS-SD-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
G5QMDDUP,AUS,AUS-NW-0001-0001,7,0.012600,0.088200,0.010700,0.074900
G5QMDDUP,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
G5QMDDUP,AUS,AUS-VM-0001-0001,924,0.121416,112.188384,0.103200,95.356800
G5QMDDUP,-,Total,-,-,125.147784,-,106.3685
I0PETVWI,AUS,AUS-SD-0001-0001,59520,0.000235,13.987200,0.000200,11.904000
I0PETVWI,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
I0PETVWI,-,Total,-,-,23.3616,-,19.8648
JJ3O0TN0,AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
JJ3O0TN0,AUS,AUS-DK-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
JJ3O0TN0,AUS,AUS-NW-0001-0001,65,0.012600,0.819000,0.010700,0.695500
JJ3O0TN0,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
JJ3O0TN0,AUS,AUS-VM-0001-0002,744,0.243976,181.518144,0.207400,154.305600
JJ3O0TN0,-,Total,-,-,205.698744,-,174.8659
JMXEKVEX,AUS,AUS-SD-0001-0001,89280,0.000235,20.980800,0.000200,17.856000
JMXEKVEX,AUS,AUS-VM-0001-0003,2232,0.486808,1086.555456,0.413800,923.601600
JMXEKVEX,AUS,AUS-DK-0001-0001,74400,0.000235,17.484000,0.000200,14.880000
JMXEKVEX,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
JMXEKVEX,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
JMXEKVEX,-,Total,-,-,1134.394656,-,964.2984
L5FV2IHO,AUS,AUS-SD-0001-0001,7440,0.000235,1.748400,0.000200,1.488000
L5FV2IHO,-,Total,-,-,1.7484,-,1.488
LNAQGGE4,AUS,AUS-DK-0001-0001,372000,0.000235,87.420000,0.000200,74.400000
LNAQGGE4,AUS,AUS-SD-0001-0001,148800,0.000235,34.968000,0.000200,29.760000
LNAQGGE4,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
LNAQGGE4,AUS,AUS-VM-0001-0002,29,0.243976,7.075304,0.207400,6.014600
LNAQGGE4,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
LNAQGGE4,-,Total,-,-,148.212104,-,126.0962
LUYVAYBB,AUS,AUS-SD-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
LUYVAYBB,AUS,AUS-DK-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
LUYVAYBB,AUS,AUS-NW-0001-0001,15,0.012600,0.189000,0.010700,0.160500
LUYVAYBB,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
LUYVAYBB,AUS,AUS-VM-0001-0001,744,0.121416,90.333504,0.103200,76.780800
LUYVAYBB,-,Total,-,-,119.761704,-,101.7909
LZ5P0CYD,AUS,AUS-SD-0001-0001,89280,0.000235,20.980800,0.000200,17.856000
LZ5P0CYD,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
LZ5P0CYD,-,Total,-,-,30.3552,-,25.8168
MKVFV356,AUS,AUS-SD-0001-0001,178560,0.000235,41.961600,0.000200,35.712000
MKVFV356,AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
MKVFV356,AUS,AUS-DK-0001-0001,372000,0.000235,87.420000,0.000200,74.400000
MKVFV356,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
MKVFV356,AUS,AUS-VM-0001-0002,744,0.243976,181.518144,0.207400,154.305600
MKVFV356,AUS,AUS-VM-0001-0001,2221,0.121416,269.664936,0.103200,229.207200
MKVFV356,-,Total,-,-,608.68788,-,517.5072
N0SMA86C,AUS,AUS-SD-0001-0001,148800,0.000235,34.968000,0.000200,29.760000
N0SMA86C,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
N0SMA86C,AUS,AUS-DK-0001-0001,65700,0.000235,15.439500,0.000200,13.140000
N0SMA86C,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
N0SMA86C,AUS,AUS-VM-0001-0002,691,0.243976,168.587416,0.207400,143.313400
N0SMA86C,AUS,AUS-VM-0001-0001,425,0.121416,51.601800,0.103200,43.860000
N0SMA86C,-,Total,-,-,289.345516,-,245.995
NL3OI3ZM,AUS,AUS-DK-0003-0001,26220,0.000235,6.161700,0.000200,5.244000
NL3OI3ZM,AUS,AUS-SD-0001-0001,15683,0.000235,3.685505,0.000200,3.136600
NL3OI3ZM,AUS,AUS-DK-0001-0001,150390,0.000235,35.341650,0.000200,30.078000
NL3OI3ZM,AUS,AUS-NW-0001-0001,1,0.012600,0.012600,0.010700,0.010700
NL3OI3ZM,AUS,AUS-IP-0001-0001,1577,0.012600,19.870200,0.010700,16.873900
NL3OI3ZM,AUS,AUS-VM-0001-0002,755,0.243976,184.201880,0.207400,156.587000
NL3OI3ZM,AUS,AUS-VM-0001-0001,19,0.121416,2.306904,0.103200,1.960800
NL3OI3ZM,-,Total,-,-,251.580439,-,213.891
OYTKJZKI,AUS,AUS-SD-0001-0001,7440,0.000235,1.748400,0.000200,1.488000
OYTKJZKI,AUS,AUS-DK-0001-0001,74400,0.000235,17.484000,0.000200,14.880000
OYTKJZKI,AUS,AUS-NW-0001-0001,1,0.012600,0.012600,0.010700,0.010700
OYTKJZKI,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
OYTKJZKI,AUS,AUS-VM-0001-0001,711,0.121416,86.326776,0.103200,73.375200
OYTKJZKI,-,Total,-,-,114.946176,-,97.7147
PI8TGQR4,AUS,AUS-DK-0003-0001,59520,0.000235,13.987200,0.000200,11.904000
PI8TGQR4,AUS,AUS-VM-0001-0003,15603,0.486808,7595.665224,0.413800,6456.521400
PI8TGQR4,AUS,AUS-SD-0001-0001,1297082,0.000235,304.814270,0.000200,259.416400
PI8TGQR4,AUS,AUS-DK-0002-0001,119050,0.000235,27.976750,0.000200,23.810000
PI8TGQR4,AUS,AUS-IP-0001-0001,17856,0.012600,224.985600,0.010700,191.059200
PI8TGQR4,AUS,AUS-VM-0001-0004,4221,0.973615,4109.628915,0.827600,3493.299600
PI8TGQR4,AUS,AUS-NW-0002-0001,744,0.026689,19.856616,0.022700,16.888800
PI8TGQR4,AUS,AUS-DK-0001-0001,3602860,0.000235,846.672100,0.000200,720.572000
PI8TGQR4,AUS,AUS-VM-0001-0011,744,1.947230,1448.739120,1.655100,1231.394400
PI8TGQR4,AUS,AUS-NW-0001-0001,297,0.012600,3.742200,0.010700,3.177900
PI8TGQR4,AUS,AUS-VM-0001-0002,5208,0.243976,1270.627008,0.207400,1080.139200
PI8TGQR4,AUS,AUS-VM-0001-0001,4465,0.121416,542.122440,0.103200,460.788000
PI8TGQR4,-,Total,-,-,16408.817443,-,13948.9709
QU7UE9EI,AUS,AUS-SD-0001-0001,89280,0.000235,20.980800,0.000200,17.856000
QU7UE9EI,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
QU7UE9EI,-,Total,-,-,30.3552,-,25.8168
RQJ2PY22,AUS,AUS-VM-0001-0003,1488,0.486808,724.370304,0.413800,615.734400
RQJ2PY22,AUS,AUS-DK-0001-0001,74400,0.000235,17.484000,0.000200,14.880000
RQJ2PY22,AUS,AUS-SD-0001-0001,208320,0.000235,48.955200,0.000200,41.664000
RQJ2PY22,AUS,AUS-NW-0001-0001,5,0.012600,0.063000,0.010700,0.053500
RQJ2PY22,AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
