HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
AUS,AUS-DK-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
AUS,AUS-NW-0001-0001,15,0.012600,0.189000,0.010700,0.160500
AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
AUS,AUS-VM-0001-0001,744,0.121416,90.333504,0.103200,76.780800
Total,-,-,119.761704,-,101.7909
