HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,96720,0.000235,22.729200,0.000200,19.344000
AUS,AUS-VM-0001-0001,2976,0.121416,361.334016,0.103200,307.123200
Total,-,-,384.063216,-,326.4672
