HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
AUS,AUS-NW-0001-0001,7,0.012600,0.088200,0.010700,0.074900
AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
AUS,AUS-VM-0001-0001,924,0.121416,112.188384,0.103200,95.356800
Total,-,-,125.147784,-,106.3685
