HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
Total,-,-,22.2456,-,18.8976
