seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
60,5AU1EUIW,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
61,5CA4FN3S,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
62,5HTFGYVA,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
63,5LHIUML8,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
64,5MJ66BS0,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
65,5PXILZ1W,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
66,5QY9MGJ1,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
67,5W20280P,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
68,5X42BEXZ,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
69,5X8VMP9B,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
70,5XJ7VLQR,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
71,62A7BV1L,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
72,62YKKU8E,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
73,64B47PZT,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
74,67EHY4GN,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
75,6D1YEZDS,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
76,6D50YKLG,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
77,6FFKZPAY,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
78,6K2550NP,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
79,6KB7RBAR,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
80,6P2G4HHY,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
81,6RPW2ZDP,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
82,6SA1O97X,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
83,6V2DFECB,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
84,6VT003MW,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
85,6Y551A2Q,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
86,734KOGIR,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
87,74H7FZQ1,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
88,75X4ZLYX,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
89,772NR6VZ,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
90,785SVAY6,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
91,7B6MJX17,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
92,7DKNSUTD,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
93,7E9XP0KW,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
94,7FQ7VO0V,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
95,7K6I5Z4C,DE01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
96,7LUZU29S,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
97,7NBXCVC9,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
98,7ODI0I59,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
99,7PXVLSE6,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
100,7RAV7YGV,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
101,7RDKYNU3,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
102,7UPB1916,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
103,7X54165N,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
104,84OG1DK9,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
105,85S5YNTX,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
106,87Y0GA4I,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
107,8CV7NHBH,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
108,8CZHJEDO,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
109,8I83O5ZE,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
110,8JPLZXUB,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
111,8SCCZI8P,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
112,8U45NST9,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
113,8WDNMMZ4,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
114,8XY2EOQM,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
115,8Z3WL3CM,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
116,91R2MXUD,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
117,94E9ERTK,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
118,9A60N8PE,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
119,9A9ID96V,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
120,9AG6KDRL,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
121,9APVG9W1,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
122,9GNANKPF,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
123,9KYST7D9,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
124,9QMAERQ3,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
125,9X8WNJ6E,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
126,9XS571PW,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
127,A2XTP6JP,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
128,A9ED3E5V,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
129,A9T0AFZ5,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
130,ABJVGLX4,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
131,ACM7QZF8,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
132,AFPP0WBK,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
133,ANLPHXC5,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
134,AWUJXE0I,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
135,AXE0X2WT,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
136,B1TLYAGN,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
137,B5E2VX0D,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
138,BHRPP2TL,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
139,BMHLENUS,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
140,BRZNW4M1,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
141,BWB6QMDM,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
142,BXDR9LSP,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
143,BYGJRSOY,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
144,C2NJU4SW,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
145,C3EBI4PY,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
146,CB4F5WEZ,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
147,CBNLGO43,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
148,CGRWVOAF,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
149,CLPAB3VP,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
150,CNBD2KR1,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
151,COU1B758,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
152,CP0DMB02,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
153,CPJ3359R,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
154,CSG0Y9JM,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
155,CYHW5IZ0,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
156,CZ3UOE51,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
157,D29GLGLP,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
158,DGPO38ZZ,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
159,DHNCK6LX,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
160,DLSR8FW1,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
161,DR0YINV3,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
162,DRHG5BG8,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
163,DS2A5W8Q,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
164,DTU1RRYD,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
165,DWNZ8QR7,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
166,DWP73QBL,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
167,DXCJHESZ,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
168,DYVO38J8,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
169,E0JZY5XD,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
170,E27FGQ07,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
171,E3M69B8R,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
172,E5OYCJC4,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
173,E6ZNTK3I,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
174,E7PEGJQL,DE01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
175,EHQPAC33,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
176,EOQBF5OZ,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
177,EPXR1E0O,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
178,ERPH615J,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
179,ETX7MV9B,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
180,EXOGES5N,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
181,EXY48YZY,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
182,F7AMAMS5,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
183,FGT6QD3U,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
184,FJ0UDJBC,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
185,FJF3Z0ID,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
186,FLN39I9G,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
187,FQX6Q4E6,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
188,FRKWL4I6,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
189,FTGVDQ6S,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
190,G0SM0ZC9,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
191,G0V8LLZ7,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
192,G3ROPZ0U,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
193,GCW3RARS,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
194,GDH31KXY,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
195,GE1WKU59,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
196,GHG30IR7,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
197,GIJKKXU4,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
198,GIUR8EF8,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
199,GIW3ONM8,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
200,GJQ46472,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
201,GKQESMC2,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
202,GLLD656M,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
203,GOYDGN5L,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
204,GPPNPXUJ,DE01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
205,GQJ97MRG,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
