seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
60,KL16E6D8,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
61,KN1R5WK6,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
62,KWLD0WMC,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
63,L4JZ1JGP,SG01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
64,L4VL9IOT,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
65,L5DQUB7R,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
66,LBGIL6Q3,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
67,LCLAOSJQ,SG01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
68,LGFT7BRC,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
69,LN0N2R1K,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
70,MFO02OAB,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
71,MH2O71X5,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
72,MMO81979,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
73,MO9NZWHB,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
74,N4BHQTLY,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
75,N75JE0Q6,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
76,NZZWV5TQ,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
77,O23L0YEN,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
78,OCYVKCY9,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
79,OFX1M1XR,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
80,OGVH2JMA,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
81,OZ8JLV1Y,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
82,P27B9XI7,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
83,PABR3C3M,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
84,PHK8X7R9,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
85,PSURKIJ4,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
86,PW4QIJHV,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
87,R63FWC0Y,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
88,RJZU3VE4,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
89,RKC9MZS3,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
90,RO8PXAFC,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
91,RVV4SOZ6,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
92,S9VY06U7,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
93,SGRRIIRD,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
94,SPI639N8,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
95,TAAU3HVT,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
96,TJ72BKC1,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
97,TO55RT4G,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
98,TXD1V65T,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
99,TZDZFEU7,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
100,UY0LNKKW,SG01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
101,V5VU9XDH,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
102,V8M1RBXI,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
103,V8PGBUZG,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
104,VPQEYGVP,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
105,W51IHA4R,SG01,SG01,1,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
106,WD5TJH2Z,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
107,WEZVR8QC,SG01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
108,WXK7V1TO,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
109,WYPV41OV,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
110,XT35QHP9,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
111,YCRYNFCL,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
112,YEO4C1F1,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
113,YZAJRYXN,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
114,Z0WJ5EUN,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
115,Z4BX8HQA,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
116,ZETMNME5,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
117,ZOMGE0D3,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
118,ZQ6CBH1M,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
119,17XTX6B0,SG01,JP01,1,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
