seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
60,8LTD7FZD,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
61,8NTVVCW9,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
62,8RTU9257,GB01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
63,8WNJYW45,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
64,8X6QP2ZD,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
65,8ZGSB1JV,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
66,93MONCN9,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
67,945GMDLG,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
68,97U22253,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
69,9BAI9SN2,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
70,9C54JDAC,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
71,9GE9OFMK,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
72,9R6MHSG8,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
73,9S5A5QOD,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
74,9WTJ8UM0,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
75,9YPXDOID,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
76,A5L05O8C,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
77,A6NIMOSB,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
78,A959ENZ3,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
79,AJDFA0PW,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
