808H1YQ6-7OF2ASWOL-S-0002,1,,IMG_AGNGFRPDNCSHBSKDRCED,10.0,islandb-cbrm
664LHG1I-VC4EFEMTQ-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
PH6X30ND-O5WMRNZZM-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
808H1YQ6-7OF2ASWOL-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
DAHRWSVQ-J0SYPLH0W-S-0003,1,,IMG_f3c827_71P704AFKOW,10.0,islandb-cbrm
DAHRWSVQ-J0SYPLH0W-S-0002,1,,IMG_f3c827_71P704AFKOW,10.0,islandb-cbrm
DAHRWSVQ-6NFEEAV0C-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
DAHRWSVQ-1IAGBA6E5-S-0002,2,jp-01-1-ps0000-08-15,IMG_f3c827_N2DYJ79K4K64G0,40.0,islandb-cbrm
DAHRWSVQ-1IAGBA6E5-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
9Z2MRKCY-FWOPAWU1Q-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
DAHRWSVQ-J0SYPLH0W-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
PH6X30ND-M3VXSUDIB-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
9Z2MRKCY-M3V1UH1E1-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
9Z2MRKCY-M3V1UH1E1-S-0003,1,,IMG_WZJW05IELRZWAVWOL2EQ,10.0,islandb-cbrm
9Z2MRKCY-M3V1UH1E1-S-0002,1,,IMG_OGJU7ZERHWRLLYSCYOYN,10.0,islandb-cbrm
664LHG1I-VC4EFEMTQ-S-0002,2,,IMG_f3c827_0H36YEWR8,8.0,islandb-cbrm
664LHG1I-VC4EFEMTQ-S-0003,1,,IMG_MF0FNS5XQBQ1U8LDSSNP,10.0,islandb-cbrm
664LHG1I-VC4EFEMTQ-S-0004,1,,IMG_VOKSKWFMRCDRBKKYXTJI,10.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0003,kvm_economy,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0008,kvm_quad_high,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
9Z2MRKCY-FWOPAWU1Q-S-0007,1,jp-01-1-ps0000-08-15,Windows2008R2SP1SE_20121106,40.0,islandb-cbrm
DAHRWSVQ-ZG8INSPFM-S-0002,1,jp-01-1-ps0000-08-15,IMG_f3c827_S24EPL2OWE307B4,40.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0007,kvm_w_high,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0005,kvm_advanced,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
DAHRWSVQ-ZG8INSPFM-S-0001,firewall,jp-01-1-ps0000-08-14,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
DAHRWSVQ-ZG8INSPFM-S-0003,1,jp-01-1-ps0000-08-15,IMG_f3c827_47NDMRY1QO,40.0,islandb-cbrm
9Z2MRKCY-FWOPAWU1Q-S-0008,1,jp-01-1-ps0000-08-15,Windows2008R2SP1EE_20121106,40.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0004,kvm_standard,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
9Z2MRKCY-FWOPAWU1Q-S-0009,1,jp-01-1-ps0000-08-15,Windows2008R2SP1SE_20121106,40.0,islandb-cbrm
