Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-17,0,,2,,,,2,2
jp-01-1-ps0000-04-16,1,3,6,1,0,,15,11
jp-01-1-ps0000-04-15,2,0,4,,1,,10,7
